,Country,Date,Vaccine_Manufacturer,Protection from Alpha var- Severe Disease,Protection from Alpha var - Infection,Protection from Delta var - Severe Disease,Protection from Delta var - Infection,Protection from Omicron var - Severe Disease,Protection from Omicron var - Infection,Total_Vaccinations
247,Belgium,2022-09-30,Moderna,4187368,3971524,4187368,3928355,3151318,2072100,4316874
248,Finland,2022-09-30,Moderna,2002711,1899478,2002711,1878832,1507195,991032,2064650
249,Belgium,2022-09-30,Pfizer/BioNTech,17370424,15724805,17370424,15359112,13164953,8045249,18284657
250,Bulgaria,2022-09-30,Johnson&Johnson,453991,380085,401201,337853,300901,174206,527896
251,Estonia,2022-09-30,Novavax,1865,1740,1803,1719,1362,901,2096
252,Estonia,2022-09-30,Johnson&Johnson,67900,56846,60004,50530,45003,26054,78953
253,Norway,2022-09-30,Johnson&Johnson,6318,5289,5583,4701,4187,2424,7346
254,Denmark,2022-09-30,Pfizer/BioNTech,9780509,8853935,9780509,8648029,7412597,4529920,10295273
255,Hungary,2022-09-30,Pfizer/BioNTech,9200418,8328799,9200418,8135106,6972948,4261246,9684650
256,Denmark,2022-09-30,Moderna,1668960,1582931,1668960,1565725,1256021,825877,1720577
257,Denmark,2022-09-30,Johnson&Johnson,39913,33416,35272,29703,26454,15316,46411
258,Cyprus,2022-09-30,Johnson&Johnson,26630,22295,23533,19818,17650,10218,30965
259,Slovenia,2022-09-30,Novavax,178,166,172,164,130,86,200
260,Slovenia,2022-09-30,Pfizer/BioNTech,2173378,1967479,2173378,1921723,1647192,1006617,2287766
261,Spain,2022-09-30,Johnson&Johnson,1703723,1426373,1505615,1267887,1129212,653754,1981073
262,Spain,2022-09-30,Moderna,23388513,22182919,23388513,21941801,17601664,11573697,24111869
263,Croatia,2022-09-30,Oxford/AstraZeneca,534398,358160,534398,392271,403641,204663,568508
264,Bulgaria,2022-09-30,Moderna,493205,467782,493205,462698,371175,244060,508459
265,Bulgaria,2022-09-30,Pfizer/BioNTech,2882341,2609277,2882341,2548596,2184511,1334979,3034043
266,Sweden,2022-09-30,Novavax,6153,5738,5945,5669,4493,2973,6913
267,Slovenia,2022-09-30,Moderna,230301,218430,230301,216056,173320,113964,237424
268,Hungary,2022-09-30,Sinopharm/Beijing,1689068,1573379,1642792,1550241,1226310,809827,2313792
269,Sweden,2022-09-30,Pfizer/BioNTech,15680328,14194823,15680328,13864711,11884038,7262468,16505608
270,Spain,2022-09-30,Pfizer/BioNTech,63800457,57756203,63800457,56413036,48354031,29549685,67158376
271,Norway,2022-09-30,Oxford/AstraZeneca,139070,93207,139070,102083,105042,53261,147947
272,Norway,2022-09-30,Pfizer/BioNTech,8900260,8057078,8900260,7869704,6745460,4122226,9368695
273,Malta,2022-09-30,Pfizer/BioNTech,697134,631090,697134,616413,528354,322883,733825
274,Malta,2022-09-30,Oxford/AstraZeneca,214188,143552,214188,157223,161781,82030,227860
275,Malta,2022-09-30,Moderna,270332,256398,270332,253611,203446,133773,278693
276,Malta,2022-09-30,Johnson&Johnson,27867,23331,24627,20739,18470,10693,32404
277,Luxembourg,2022-09-30,Novavax,430,401,415,396,314,208,483
278,Lithuania,2022-09-30,Pfizer/BioNTech,3160676,2861243,3160676,2794703,2395459,1463892,3327027
279,Lithuania,2022-09-30,Moderna,319489,303020,319489,299727,240440,158098,329370
280,Lithuania,2022-09-30,Johnson&Johnson,254386,212975,224806,189311,168605,97613,295798
281,Liechtenstein,2022-09-30,Pfizer/BioNTech,20599,18647,20599,18214,15612,9541,21683
282,Belgium,2022-09-30,Johnson&Johnson,368065,308147,325266,273908,243950,141234,427982
283,Liechtenstein,2022-09-30,Moderna,45189,42860,45189,42394,34009,22362,46587
284,Poland,2022-09-30,Oxford/AstraZeneca,4974764,3334150,4974764,3651688,3757534,1905229,5292302
285,Japan,2022-09-30,Oxford/AstraZeneca,110764,74235,110764,81305,83662,42420,117834
286,Italy,2022-09-30,Novavax,38211,35635,36923,35206,27907,18462,42934
287,Portugal,2022-09-30,Moderna,3582891,3398206,3582891,3361269,2696402,1772977,3693702
288,Portugal,2022-09-30,Pfizer/BioNTech,15859880,14357365,15859880,14023473,12020120,7345629,16694611
289,Ireland,2022-09-30,Novavax,464,432,448,427,339,224,521
290,Ireland,2022-09-30,Johnson&Johnson,203595,170451,179921,151512,134941,78124,236738
291,Sweden,2022-09-30,Moderna,4027712,3820098,4027712,3778575,3031164,1993094,4152280
292,Switzerland,2022-10-01,Moderna,9641257,9144285,9641257,9044890,7255791,4770931,9939440
